Branch,Location,PLU,Timestamp
1,960,648335592106,2011/11/22 19:21:46
1,960,648335591987,2011/11/22 19:21:47
1,960,648335592083,2011/11/22 19:21:48
1,960,648335591987,2011/11/22 19:21:49
1,960,648335592106,2011/11/22 19:21:50
1,960,648335592083,2011/11/22 19:21:51
1,960,648335591987,2011/11/22 19:21:52
1,960,648335591963,2011/11/22 19:21:54
1,960,648335591963,2011/11/22 19:21:55
1,960,648335592083,2011/11/22 19:21:56
1,960,648335592120,2011/11/22 19:21:59
1,960,648335592106,2011/11/22 19:22:00
1,960,648335591987,2011/11/22 19:22:01
1,960,773040878891,2011/11/22 19:23:45
1,960,773040994201,2011/11/22 19:23:46
1,960,773040878914,2011/11/22 19:23:48
1,960,773040878891,2011/11/22 19:23:49
1,960,773040878891,2011/11/22 19:23:50
1,960,773040879638,2011/11/22 19:23:51
1,960,773040879591,2011/11/22 19:23:52
1,960,098771582306,2011/11/22 19:23:53
1,960,098771582306,2011/11/22 19:23:54
1,960,098771582269,2011/11/22 19:23:55
1,960,098771582306,2011/11/22 19:23:59
1,960,773040606265,2011/11/22 19:24:01
1,960,773040606289,2011/11/22 19:24:03
1,960,738575693029,2011/11/22 19:24:04
1,960,773040943834,2011/11/22 19:24:05
1,960,773040879591,2011/11/22 19:24:06
1,960,098775557027,2011/11/22 19:24:07
1,960,773040876064,2011/11/22 19:24:11
1,960,773040876040,2011/11/22 19:24:12
1,960,773040876040,2011/11/22 19:24:16
1,960,773040876088,2011/11/22 19:24:17
1,960,773040879614,2011/11/22 19:24:23
1,960,773040876088,2011/11/22 19:24:24
1,960,773040876101,2011/11/22 19:24:25
1,960,773040878877,2011/11/22 19:24:26
1,960,773040878914,2011/11/22 19:24:27
1,960,738575693029,2011/11/22 19:24:29
1,960,773040870482,2011/11/22 19:24:29
1,960,098771582269,2011/11/22 19:24:30
1,960,098775557027,2011/11/22 19:24:34
1,960,773040876064,2011/11/22 19:24:35
1,960,773040942363,2011/11/22 19:24:36
1,960,098775556983,2011/11/22 19:24:37
1,960,773040879614,2011/11/22 19:24:39
1,960,098775557119,2011/11/22 19:24:41
1,960,098775557027,2011/11/22 19:24:44
1,960,773040876064,2011/11/22 19:24:46
1,960,773040879638,2011/11/22 19:24:50
1,960,098775557225,2011/11/22 19:24:52
1,960,098771582269,2011/11/22 19:24:59
1,960,098771582306,2011/11/22 19:25:00
1,960,773040876088,2011/11/22 19:25:02
1,960,773040942288,2011/11/22 19:25:03
1,960,773040879638,2011/11/22 19:25:04
1,960,773040879591,2011/11/22 19:25:05
1,960,773040876088,2011/11/22 19:25:06
1,960,883945050305,2011/11/22 19:25:18
1,960,883945020667,2011/11/22 19:25:19
1,960,883945050282,2011/11/22 19:25:24
1,960,883945050282,2011/11/22 19:25:26
1,960,883945020834,2011/11/22 19:25:29
1,960,883945020667,2011/11/22 19:25:31
1,960,883945020827,2011/11/22 19:25:35
1,960,883945020667,2011/11/22 19:25:37
1,960,883945050213,2011/11/22 19:25:39
1,960,883945020667,2011/11/22 19:25:43
1,960,883945020827,2011/11/22 19:25:47
1,960,883945066733,2011/11/22 19:25:49
1,960,883945020827,2011/11/22 19:25:55
1,960,883945020797,2011/11/22 19:26:23
1,960,883945025976,2011/11/22 19:26:46
1,960,883945025976,2011/11/22 19:26:59
1,960,883945020827,2011/11/22 19:27:14
1,960,883945020827,2011/11/22 19:27:15
1,960,883945020827,2011/11/22 19:27:18
1,960,883945020834,2011/11/22 19:27:20
1,960,883945020797,2011/11/22 19:27:21
1,960,8717457206016,2011/11/22 19:29:54
1,960,8717457206016,2011/11/22 19:29:55
1,960,8717457206016,2011/11/22 19:29:57
1,960,8717457206016,2011/11/22 19:30:04
1,960,8717457206016,2011/11/22 19:30:05
1,960,8717457205712,2011/11/22 19:31:34
1,960,8717457205712,2011/11/22 19:31:37
1,960,8717457205699,2011/11/22 19:31:38
1,960,8717457205699,2011/11/22 19:31:47
1,960,8717457206047,2011/11/22 19:31:57
1,960,8717457205699,2011/11/22 19:32:12
1,960,8717457205699,2011/11/22 19:32:19
1,960,8717457205699,2011/11/22 19:32:25
1,960,8717457205682,2011/11/22 19:33:40
1,960,8717457205682,2011/11/22 19:33:46
1,960,8717457205682,2011/11/22 19:33:58
1,960,8717457205682,2011/11/22 19:34:08
1,960,8717457205682,2011/11/22 19:34:14
1,960,8717457205682,2011/11/22 19:34:20
1,960,8717457205682,2011/11/22 19:34:31
1,960,8717457206016,2011/11/22 19:34:38
1,960,8717457171598,2011/11/22 19:35:30
1,960,8717457171598,2011/11/22 19:35:45
1,960,8717457171598,2011/11/22 19:35:50
1,960,8717457171598,2011/11/22 19:35:59
1,960,8717457171598,2011/11/22 19:36:06
1,960,8717457171598,2011/11/22 19:36:13
1,960,8717457171598,2011/11/22 19:36:21
1,960,8717457171598,2011/11/22 19:36:33
1,960,8717457205712,2011/11/22 19:37:50
1,960,8717457205712,2011/11/22 19:37:52
1,960,8717457205712,2011/11/22 19:37:55
1,960,8717457205712,2011/11/22 19:38:06
1,960,8717457205712,2011/11/22 19:38:17
1,960,8717457205712,2011/11/22 19:38:22
1,960,8717457205712,2011/11/22 19:38:28
1,960,8717457206047,2011/11/22 19:40:25
1,960,8717457206047,2011/11/22 19:40:27
1,960,8717457206047,2011/11/22 19:40:28
1,960,8717457206047,2011/11/22 19:40:30
1,960,8717457206047,2011/11/22 19:40:32
1,960,8717457206047,2011/11/22 19:40:34
1,960,8717457206047,2011/11/22 19:40:37
1,960,8717457206047,2011/11/22 19:40:38
